word,surprise,anger,sadness,happy,fear
conduct ,0.01948052,0.05844156,0.01948052,0.006493507,0.01948052
connected ,0.027310926,0.023109246,0.010504203,0.05672269,0.031512607
consulting ,0.014285715,0.042857148,0.014285715,0.1,0.014285715
contacts ,0.014285715,0.042857148,0.042857148,0.014285715,0.071428575
contain ,0.039682545,0.023809526,0.039682545,0.039682545,0.023809526
contained ,0.035714287,0.107142866,0.035714287,0.035714287,0.035714287
containing ,0.042857148,0.071428575,0.014285715,0.014285715,0.042857148
contemporary ,0.042857148,0.014285715,0.071428575,0.042857148,0.014285715
contract ,0.021428574,0.035714287,0.007142858,0.05,0.05
controls ,0.035714287,0.035714287,0.035714287,0.035714287,0.107142866
convention ,0.035714287,0.035714287,0.035714287,0.035714287,0.107142866
conversion ,0.023809526,0.023809526,0.071428575,0.023809526,0.071428575
cool ,0.024916943,0.009413068,0.004983389,0.08803987,0.016057586
copies ,0.026785716,0.08035715,0.026785716,0.008928572,0.026785716
corner ,0.055803575,0.03794643,0.024553573,0.006696429,0.024553573
cost ,0.044642854,0.044642854,0.014880952,0.020833334,0.014880952
costs ,3.50E-06,3.50E-06,3.50E-06,1.05E-05,1.75E-05
counter ,0.019841272,0.06746032,0.003968254,0.02777778,0.019841272
covered ,0.041125543,0.006493507,0.01948052,0.02813853,0.054112557
covers ,0.035714287,0.003968254,0.019841272,0.035714287,0.05952381
cream ,0.01948052,0.010822511,0.06709957,0.02813853,0.01948052
creating ,0.02631579,0.018796993,0.041353386,0.033834588,0.02631579
creation ,0.058035716,0.004464286,0.013392858,0.06696429,0.013392858
creative ,0.01631046,0.007311587,0.008436446,0.10179978,0.010686165
credits ,0.05102041,0.05102041,0.010204082,0.05102041,0.010204082
crime ,6.35E-04,6.35E-04,3.81E-04,0.001398068,0.14018811
criminal ,0.017857144,0.08928572,0.017857144,0.053571433,0.017857144
criteria ,0.107142866,0.035714287,0.035714287,0.035714287,0.035714287
critical ,0.002164502,0.12914863,0.003607504,7.22E-04,0.00937951
cruise ,0.042857148,0.042857148,0.014285715,0.042857148,0.042857148
crystal ,0.05102041,0.010204082,0.010204082,0.071428575,0.030612247
ct ,0.017857144,0.017857144,0.017857144,0.125,0.017857144
cum ,0.023809526,0.11904762,0.023809526,0.023809526,0.023809526
customers ,0.02747253,0.049450554,0.016483517,0.02747253,0.016483517
cvs ,0.035714287,0.035714287,0.035714287,0.107142866,0.035714287
cycle ,0.026785716,0.026785716,0.0625,0.002976191,0.032738097
da ,0.082417585,0.005494506,0.016483517,0.02747253,0.02747253
dallas ,0.053571433,0.017857144,0.017857144,0.08928572,0.017857144
damage ,0.02631579,0.041353386,0.048872184,0.02631579,0.011278195
dan ,0.053571433,0.017857144,0.08928572,0.017857144,0.017857144
dance ,0.023191096,0.017625233,0.017625233,0.071428575,0.013914657
daniel ,0.09863946,0.017006803,0.023809526,0.003401361,0.010204082
daughter ,0.03456221,0.031490017,0.01920123,0.031490017,0.02688172
dave ,0.023809526,0.103174604,0.007936508,0.007936508,0.023809526
